step,cube_x,cube_y,cube_z,target_distance,reward,success
0,0.5499997210950057,-1.069123841693483e-07,0.0299900248997022,0.20000027915377908,-0.20000027915377908,False
1,0.5499995639534385,-8.894829980069202e-08,0.029989930180324195,0.20000043630008388,-0.20000043630008388,False
2,0.5499994669567342,-3.0743661791479525e-08,0.029989817034399936,0.20000053330249945,-0.20000053330249945,False
3,0.5499993710841555,2.177073067721471e-08,0.02998971958216478,0.20000062918006228,-0.20000062918006228,False
4,0.5499992819653899,7.332450506035854e-08,0.029989630630505658,0.20000071830343208,-0.20000071830343208,False
5,0.5499991999341305,1.2478569782201546e-07,0.029989548797760935,0.2000008003389764,-0.2000008003389764,False
6,0.5499991244514219,1.7624278796411444e-07,0.029989473509976255,0.20000087582567205,-0.20000087582567205,False
7,0.5499990549922744,2.2770149339850258e-07,0.02998940424640635,0.20000094528852885,-0.20000094528852885,False
8,0.5499989910743878,2.791608617112837e-07,0.029989340525242787,0.20000100920986663,-0.20000100920986663,False
9,0.5499989322541962,3.3062054309320453e-07,0.02998928190305852,0.20000106803326959,-0.20000106803326959,False
10,0.54999887812373,3.8208047592798793e-07,0.029989227971851672,0.20000112216672478,-0.20000112216672478,False
11,0.5499988283076903,4.3354063487430373e-07,0.029989178356254146,0.20000117198554782,-0.20000117198554782,False
12,0.5499987824608118,4.850009956952585e-07,0.02998913271093454,0.2000012178350194,-0.2000012178350194,False
13,0.5499987402654615,5.364615359075614e-07,0.02998909071819259,0.2000012600327872,-0.2000012600327872,False
14,0.549998701429425,5.879222347949495e-07,0.02998905208575043,0.20000129887107929,-0.20000129887107929,False
15,0.5499986656838729,6.393830755832119e-07,0.029989016544717913,0.20000133461873784,-0.20000133461873784,False
16,0.5499986327814922,6.908440413030578e-07,0.02998898384771817,0.20000136752308792,-0.20000136752308792,False
17,0.5499986024947577,7.423051177800502e-07,0.029988953767172723,0.20000139781166582,-0.20000139781166582,False
18,0.5499985746143554,7.937662939104595e-07,0.02998892609371096,0.20000142569379603,-0.20000142569379603,False
19,0.5499985489477206,8.452275559347226e-07,0.029988900634716632,0.20000145136205294,-0.20000145136205294,False
20,0.5499985253176988,8.966888954636683e-07,0.029988877212986872,0.20000147499360005,-0.20000147499360005,False
21,0.5499985035613134,9.481503030496754e-07,0.02998885566549707,0.2000014967514222,-0.2000014967514222,False
